pmid,title,abstract,authors,journal,year,keywords,cleaned_text
DEMO00000,Demo paper on AI in healthcare 0,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00057,Demo paper on AI in healthcare 57,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00058,Demo paper on AI in healthcare 58,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00059,Demo paper on AI in healthcare 59,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
DEMO00060,Demo paper on AI in healthcare 60,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00061,Demo paper on AI in healthcare 61,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00062,Demo paper on AI in healthcare 62,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00063,Demo paper on AI in healthcare 63,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00064,Demo paper on AI in healthcare 64,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00065,Demo paper on AI in healthcare 65,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00066,Demo paper on AI in healthcare 66,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00067,Demo paper on AI in healthcare 67,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00068,Demo paper on AI in healthcare 68,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00069,Demo paper on AI in healthcare 69,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
DEMO00070,Demo paper on AI in healthcare 70,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00071,Demo paper on AI in healthcare 71,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00072,Demo paper on AI in healthcare 72,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00073,Demo paper on AI in healthcare 73,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00074,Demo paper on AI in healthcare 74,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00075,Demo paper on AI in healthcare 75,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00076,Demo paper on AI in healthcare 76,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00077,Demo paper on AI in healthcare 77,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00078,Demo paper on AI in healthcare 78,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00079,Demo paper on AI in healthcare 79,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
